id,mr,team,text,category,type,bleu,meteor,ter,systemtype,triplesize,fluency,grammar,semantics
45,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,tilburg-nmt,"101 helena died in james craig watson, which has peritonitis to the west.",CelestialBody,unseen,0.215,0.384744164632317,75,neural,2triple,1.0,1.6666666666666667,1.0
46,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,tilburg-pipe,,CelestialBody,unseen,0,0,91.667,template,2triple,1.0,1.0,1.0
47,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,tilburg-smt,101 helena discoverer james craig watson james craig watson deathcause peritonitis,CelestialBody,unseen,0.245,0.338926787152197,58.333,smt,2triple,1.3333333333333333,1.3333333333333333,3.0
48,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,upf-forge,"james craig watson, who died of peritonitis, discovered 101 helena.",CelestialBody,unseen,0.314,0.944827586206897,41.667,template,2triple,2.6666666666666665,2.6666666666666665,3.0
49,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,vietnam,null,CelestialBody,unseen,0,0,91.667,template,2triple,1.0,1.0,1.0
50,101_Helena | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,webnlg,"james craig watson , who died from peritonitis , discovered 101 helena .
",CelestialBody,unseen,1,1,1,human,2triple,2.3333333333333335,3.0,3.0
51,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,adapt,"base bair was born in balter and graduated from the university of golderen, who was born in balter. he graduated from the university of golderen and the doctoral style of the allan sandage. he died in balter, whose alma mater is the university of goldingen.",CelestialBody,unseen,0.174,0.209698680986685,102.941,neural,5triple,1.6666666666666667,2.3333333333333335,1.0
52,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,baseline,the port authority of headquarter and new jersey is the operating organisation of atlantic city international airport.,CelestialBody,unseen,0.143,0.0595040771791515,82.353,neural,5triple,2.3333333333333335,2.0,1.0
53,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,melbourne,1036 ganymed (born in german empire) graduated from university of göttingen with a bachelor of science degree. he is affiliated with walter baade and is affiliated with allan sandage.,CelestialBody,unseen,0.262,0.282044812665236,73.529,neural,5triple,1.6666666666666667,1.6666666666666667,1.0
54,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,pkuwriter,the leader of german empire is called the university of göttingen. the book was born in german empire.,CelestialBody,unseen,0.142,0.172097851571525,73.529,neural,5triple,1.6666666666666667,2.0,1.0
55,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,tilburg-nmt,1036 ganymed was a student at walter baade which is affiliated to the university of texas system and competes in university of göttingen with german empire as the mascot. allan sandage was appointed as the president of walter baade.,CelestialBody,unseen,0.202,0.302716743415484,85.294,neural,5triple,2.6666666666666665,2.0,2.3333333333333335
56,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,tilburg-pipe,"walter baade was born in german empire, graduated from university of göttingen, and died in göttingen.",CelestialBody,unseen,0.113,0.274155774840971,67.647,template,5triple,2.6666666666666665,2.3333333333333335,1.3333333333333333
57,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,tilburg-smt,1036 ganymed discoverer walter baade walter baade died in göttingen walter baade was born in german empire walter baade. he graduated from university of göttingen walter baade doctoralstudent allan sandage,CelestialBody,unseen,0.178,0.323516336221848,64.706,smt,5triple,1.0,1.3333333333333333,2.3333333333333335
58,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,upf-forge,"walter baade, who died in göttingen, discovered 1036 ganymed. he was born in german empire. he graduated from university of göttingen. he is the doctoral adviser of allan sandage.",CelestialBody,unseen,0.185,0.404254584649994,67.647,template,5triple,2.3333333333333335,2.3333333333333335,2.6666666666666665
59,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,vietnam,null,CelestialBody,unseen,0,0,85.294,template,5triple,1.0,1.0,1.0
60,1036_Ganymed | discoverer | Walter_Baade<br>Walter_Baade | deathPlace | Göttingen<br>Walter_Baade | birthPlace | German_Empire<br>Walter_Baade | almaMater | University_of_Göttingen<br>Walter_Baade | doctoralStudent | Allan_Sandage,webnlg,"german walter baade discovered 1036 ganymed . baade died in gottingen , was a graduate of the university of gottingen and allan sandage was among his doctoral students .
",CelestialBody,unseen,1,1,1,human,5triple,2.3333333333333335,3.0,3.0
61,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,adapt,james castle watson is in the division of peritonitis and is the discovers of 03 watson.,CelestialBody,unseen,0.2,0.23508708269969,71.739,neural,2triple,2.0,2.0,2.3333333333333335
62,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,baseline,the polish academy of sciences is in regionserved.,CelestialBody,unseen,0.098,0.041522491349481,91.304,neural,2triple,2.0,2.3333333333333335,1.0
63,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,melbourne,"peritonitis is the parent company of james craig watson, which is the location of 103 hera.",CelestialBody,unseen,0.238,0.368221880387004,78.261,neural,2triple,2.3333333333333335,2.3333333333333335,1.6666666666666667
64,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,pkuwriter,"james craig watson, who died of peritonitis, discovered 103 hera.",CelestialBody,unseen,0.166,0.497343318219879,65.217,neural,2triple,3.0,3.0,3.0
65,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,tilburg-nmt,"103 hera died in james craig watson, which has peritonitis to the west.",CelestialBody,unseen,0.223,0.361855861705224,71.739,neural,2triple,1.0,2.0,1.0
66,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,tilburg-pipe,,CelestialBody,unseen,0,0,97.826,template,2triple,1.0,1.0,1.0
67,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,tilburg-smt,103 hera discoverer james craig watson james craig watson deathcause peritonitis,CelestialBody,unseen,0.177,0.310996060565797,58.696,smt,2triple,1.0,1.0,2.3333333333333335
68,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,upf-forge,"james craig watson, who died of peritonitis, discovered 103 hera.",CelestialBody,unseen,0.166,0.497343318219879,65.217,template,2triple,3.0,3.0,3.0
69,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,vietnam,null,CelestialBody,unseen,0,0,97.826,template,2triple,1.0,1.0,1.0
70,103_Hera | discoverer | James_Craig_Watson<br>James_Craig_Watson | deathCause | Peritonitis,webnlg,"james craig watson , who died of peritonitis , was the discoverer of 103 hera .
",CelestialBody,unseen,1,1,1,human,2triple,2.6666666666666665,2.6666666666666665,3.0
71,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,adapt,"the american n.r. pogson was born in the us and is the birthplace of 07 camilla, which is the birthplace of a. r. postson. he has also been born in the same year.",CelestialBody,unseen,0.106,0.254436395065201,174,neural,3triple,1.6666666666666667,2.0,1.6666666666666667
72,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,baseline,the port authority of the association of computing machinery is nottingham.,CelestialBody,unseen,0.135,0.0745801758115131,84,neural,3triple,2.3333333333333335,2.3333333333333335,1.0
73,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,melbourne,"n. r. pogson, born in nottingham, is the birthplace of 107 camilla, england.",CelestialBody,unseen,0.163,0.384151113413345,78,neural,3triple,3.0,3.0,1.0
74,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,pkuwriter,the nationality of the england is england national and the country is the creator of writtenwork.,CelestialBody,unseen,0.246,0.110472485177066,96,neural,3triple,1.3333333333333333,1.3333333333333333,1.0
75,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,tilburg-nmt,107 camilla was edited by n. r. pogson. n. r. pogson is a building in nottingham and was born in england.,CelestialBody,unseen,0.264,0.370720308108594,78,neural,3triple,2.3333333333333335,2.3333333333333335,1.3333333333333333
76,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,tilburg-pipe,"n. r. pogson was born in nottingham, england.",CelestialBody,unseen,0.119,0.322890284736088,66,template,3triple,3.0,3.0,1.5
77,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,tilburg-smt,"107 camilla discoverer n. r. pogson n. r. pogson was born in nottingham n. r. pogson, england",CelestialBody,unseen,0.187,0.371468443477355,66,smt,3triple,1.3333333333333333,2.3333333333333335,2.0
78,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,upf-forge,"n. r. pogson, born in nottingham, discovered 107 camilla. he is from england.",CelestialBody,unseen,0.194,0.422241569583005,84,template,3triple,3.0,3.0,3.0
79,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,vietnam,null,CelestialBody,unseen,0,0,90,template,3triple,1.0,1.0,1.0
80,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | birthPlace | Nottingham<br>N._R._Pogson | nationality | England,webnlg,"107 camilla was discovered by the british nr pogson who was born in nottingham .
",CelestialBody,unseen,1,1,1,human,3triple,3.0,3.0,3.0
81,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,adapt,"the manager of 101 camilla, who was born in nennal, is 07 camilla, who was born in the daucovel 17 camilla, which was born in the daucovel 17 camilla, which was born in the discoverion, was born in the discovers of 1.r. post, and was born in the discovel 17 camilla, which was born in the discovers of "" 2001-03-0 "".",CelestialBody,unseen,0.047,0.190733109961214,192.857,neural,4triple,1.0,1.0,1.0
82,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,baseline,the port authority of headquarter and new jersey is the operating organisation of atlantic city international airport.,CelestialBody,unseen,0.144,0.0310077519379845,85.714,neural,4triple,3.0,2.6666666666666665,1.0
83,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,melbourne,"n. r. pogson, who was born in nottingham, is the author of 107 camilla, which was born in nottingham and is 2001-03-01.",CelestialBody,unseen,0.202,0.305880453597777,71.429,neural,4triple,2.0,2.0,1.6666666666666667
84,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,pkuwriter,the leader of chennai is leadername.,CelestialBody,unseen,0.008,0.0429325904510375,89.286,neural,4triple,1.0,1.6666666666666667,1.0
85,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,tilburg-nmt,"107 camilla, which has march 01st 2001 floors, is published by n. r. pogson. march 01st 2001 and is affiliated with chennai.",CelestialBody,unseen,0.224,0.286247095443012,92.857,neural,4triple,1.0,1.0,1.0
86,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,tilburg-pipe,n. r. pogson was born in nottingham but died in chennai.,CelestialBody,unseen,0.103,0.316542723318578,67.857,template,4triple,1.5,2.0,1.5
87,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,tilburg-smt,107 camilla discoverer n. r. pogson n. r. pogson died in chennai n. r. pogson was born in nottingham 107 camilla discovered 2001-03-01,CelestialBody,unseen,0.204,0.350408781445623,71.429,smt,4triple,1.0,1.0,1.6666666666666667
88,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,upf-forge,"n. r. pogson, who died in chennai, discovered 107 camilla, discovered on march 01 (2001). he was born in nottingham.",CelestialBody,unseen,0.183,0.423005715279101,67.857,template,4triple,1.5,2.0,2.0
89,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,vietnam,null,CelestialBody,unseen,0,0,92.857,template,4triple,1.0,1.0,1.0
90,107_Camilla | discoverer | N._R._Pogson<br>N._R._Pogson | deathPlace | Chennai<br>N._R._Pogson | birthPlace | Nottingham<br>107_Camilla | discovered | 2001-03-01,webnlg,"n . r . pogson was born in nottingham and died in chennai . he discovered the 107 camilla asteroid on the 1st march 2001 .
",CelestialBody,unseen,1,1,1,human,4triple,2.0,2.5,2.0
91,108_St_Georges_Terrace | floorCount | 50<br>108_St_Georges_Terrace | completionDate | 1988,adapt,108 st georges terrace has 50 floors and was completed in 1988.,Building,seen,0.573,0.474734473192315,40,neural,2triple,3.0,3.0,3.0
92,108_St_Georges_Terrace | floorCount | 50<br>108_St_Georges_Terrace | completionDate | 1988,baseline,108 st georges terrace has 50 floors and was completed in 1988.,Building,seen,0.573,0.474734473192315,40,neural,2triple,3.0,3.0,3.0
93,108_St_Georges_Terrace | floorCount | 50<br>108_St_Georges_Terrace | completionDate | 1988,melbourne,108 st georges terrace was completed in 1988 and has 50 floors.,Building,seen,0.781,0.500247342323327,26.667,neural,2triple,3.0,3.0,3.0
94,108_St_Georges_Terrace | floorCount | 50<br>108_St_Georges_Terrace | completionDate | 1988,pkuwriter,"108 st georges terrace, completed in 1988, has 50 floors.",Building,seen,0.218,1,40,neural,2triple,3.0,3.0,3.0
